City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Time
236,dabhol,17.6,73.1667,27.41,78,58,2.07,IN,2023-06-05,18:30:42
237,ghat,24.9647,10.1728,29.97,10,1,2.37,LY,2023-06-05,18:30:42
238,necochea,-38.5473,-58.7368,11.19,51,98,6.33,AR,2023-06-05,18:26:51
239,keren,15.7778,38.4581,24.32,51,2,1.58,ER,2023-06-05,18:30:42
240,tura,25.5198,90.2201,25.94,57,0,2.09,IN,2023-06-05,18:30:42
241,leava,-14.3,-178.1667,26.18,82,100,4.97,WF,2023-06-05,18:30:42
242,manaure,11.7751,-72.4445,28.21,82,99,5.03,CO,2023-06-05,18:30:43
243,inhambane,-23.865,35.3833,22.55,91,0,1.07,MZ,2023-06-05,18:30:43
244,cidreira,-30.1811,-50.2056,16.11,70,81,2.7,BR,2023-06-05,18:29:46
245,garoowe,8.4054,48.4845,25.32,73,91,8.54,SO,2023-06-05,18:30:43
246,arraial do cabo,-22.9661,-42.0278,20.98,94,40,3.6,BR,2023-06-05,18:30:43
247,beaufort,5.3473,115.7455,23.88,94,100,1.13,MY,2023-06-05,18:27:48
248,laguna,38.421,-121.4238,28.57,51,0,4.63,US,2023-06-05,18:30:43
249,kailua-kona,19.6406,-155.9956,27.93,74,40,4.63,US,2023-06-05,18:30:43
250,sesimbra,38.4445,-9.1015,21.59,68,96,2.61,PT,2023-06-05,18:30:44
251,douglas,41.3,-96.167,31.1,43,75,3.6,US,2023-06-05,18:28:16
252,geraldton,-28.7667,114.6,14.23,82,75,10.8,AU,2023-06-05,18:26:21
253,korla,41.7597,86.1469,23.26,26,5,3.0,CN,2023-06-05,18:30:48
254,masvingo,-20.0637,30.8277,17.78,35,0,2.83,ZW,2023-06-05,18:30:48
255,carbonear,47.7332,-53.2148,7.64,95,100,4.17,CA,2023-06-05,18:30:49
256,progreso,21.2833,-89.6667,31.17,77,46,6.81,MX,2023-06-05,18:30:49
257,saint-aubin-de-medoc,44.75,-0.7167,20.94,81,0,3.09,FR,2023-06-05,18:30:49
258,cukai,4.25,103.4167,23.97,89,100,1.27,MY,2023-06-05,18:30:50
259,dalnegorsk,44.5604,135.5701,21.15,47,90,1.72,RU,2023-06-05,18:30:50
260,terra boa,-23.7681,-52.4442,15.42,73,0,1.5,BR,2023-06-05,18:30:50
261,polovinnoye,54.7914,65.9864,17.65,75,9,5.03,RU,2023-06-05,18:30:50
262,fort bragg,35.139,-79.006,26.01,52,0,4.63,US,2023-06-05,18:29:36
263,santa terezinha,-29.9002,-50.0904,15.98,74,94,1.71,BR,2023-06-05,18:30:51
264,puerto real,36.5282,-6.1901,22.56,68,0,1.54,ES,2023-06-05,18:30:51
265,island harbour,50.724,-1.2758,12.77,82,0,2.24,GB,2023-06-05,18:30:51
266,auki,-8.7676,160.7034,29.68,66,32,1.03,SB,2023-06-05,18:30:53
267,bermeo,43.4209,-2.7215,20.39,86,91,2.07,ES,2023-06-05,18:30:38
268,anadyr,64.75,177.4833,6.28,86,75,10.0,RU,2023-06-05,18:30:53
269,daloa,6.8774,-6.4502,23.02,98,99,1.71,CI,2023-06-05,18:30:53
270,carauari,-4.8828,-66.8958,23.46,97,70,1.28,BR,2023-06-05,18:30:54
271,el tigre,8.8875,-64.2454,26.74,77,99,0.71,VE,2023-06-05,18:30:54
